"","Year","Population","Violent Crime rate","Murder and nonnegligent manslaughter rate","Legacy rape rate /1","Revised rape rate /2","Robbery rate","Aggravated assault rate","State"
"461","2010","8799593","307.5","4.2","11.1","","134.3","157.8","New Jersey"
"462","2011","8834773","307.9","4.3","11.4","","138.2","154","New Jersey"
"463","2012","8867749","290.1","4.4","11.7","","128.4","145.7","New Jersey"
"464","2013","8911502","288.9","4.5","9.7","13.3","135.6","135.5","New Jersey"
"465","2014","8938175","261.2","3.9","10.7","14.3","117.5","125.6","New Jersey"
"466","2000","1819046","757.9","7.4","50.7","","137.4","562.4","New Mexico"
"467","2001","1830935","780.4","5.4","46.4","","147.2","581.3","New Mexico"
"468","2002","1852044","740.7","8.2","55.5","","119.1","558","New Mexico"
"469","2003","1878562","667.3","6.2","50","","103.1","507.9","New Mexico"
"470","2004","1903006","687.4","8.9","54.6","","108.4","515.6","New Mexico"
"471","2005","1925985","646","7.5","54.1","","98.3","486.5","New Mexico"
"472","2006","1954599","654.7","6.9","54.9","","107.2","485.8","New Mexico"
"473","2007","1969915","675.7","9.3","52.2","","117.9","496.3","New Mexico"
"474","2008","1984356","653.5","8.1","56.3","","108.4","480.6","New Mexico"
"475","2009","2009671","632.4","9.9","53.2","","96.1","473.2","New Mexico"
"476","2010","2065913","588","6.8","46.4","","78.2","456.6","New Mexico"
"477","2011","2078674","572.7","7.6","41.2","","82.7","441.1","New Mexico"
"478","2012","2083540","559.6","5.6","45.9","","88.6","419.5","New Mexico"
"479","2013","2086895","622.5","5.9","54.4","75","87.8","453.8","New Mexico"
"480","2014","2085572","597.4","4.8","51.4","70.7","100","421.8","New Mexico"
"481","2000","18976457","553.9","5","18.6","","213.6","316.7","New York"
"482","2001","19084350","513.6","5","18.6","","191.5","298.5","New York"
"483","2002","19134293","496.6","4.8","20.3","","191.6","280","New York"
"484","2003","19212425","465.8","4.9","19.6","","186.3","255","New York"
"485","2004","19280727","440.4","4.6","18.7","","173.8","243.3","New York"
"486","2005","19315721","444","4.5","18.8","","182.1","238.9","New York"
"487","2006","19306183","435.2","4.8","16.4","","178.5","235.5","New York"
"488","2007","19297729","414.4","4.2","15.2","","161.1","233.9","New York"
"489","2008","19490297","397.9","4.3","14.4","","163.1","216.1","New York"
"490","2009","19541453","384.4","4","13.2","","144","223.1","New York"
"491","2010","19395206","394.4","4.5","14.4","","147.6","227.9","New York"
"492","2011","19501616","397.2","3.9","14.1","","145.7","233.5","New York"
"493","2012","19576125","406.3","3.5","14.5","","146.3","242","New York"
"494","2013","19695680","393.8","3.3","13.1","18","138.3","234.2","New York"
"495","2014","19746227","381.8","3.1","19.8","27.5","121.8","229.4","New York"
"496","2000","8049313","497.6","7","27.1","","156.5","307","North Carolina"
"497","2001","8206105","493.1","6.2","25.4","","162.1","299.4","North Carolina"
"498","2002","8305820","471","6.6","26.4","","146.9","291","North Carolina"
"499","2003","8421190","454.1","6","25.4","","145.2","277.5","North Carolina"
"500","2004","8540468","447.8","6.2","27.4","","138","276.2","North Carolina"
"501","2005","8672459","469","6.7","26.5","","145.7","289.7","North Carolina"
"502","2006","8856505","475.2","6.1","28.2","","152.1","288.9","North Carolina"
"503","2007","9061032","466.1","6.4","26.3","","149.4","283.9","North Carolina"
"504","2008","9222414","467.6","6.5","24.9","","155.3","280.9","North Carolina"
"505","2009","9380884","404.5","5.2","24.6","","126.1","248.7","North Carolina"
"506","2010","9560234","362.7","5","20.9","","100.6","236.2","North Carolina"
"507","2011","9651103","346.3","5.2","20.3","","97.9","222.9","North Carolina"
"508","2012","9748364","353.5","4.9","20.4","","96.3","231.9","North Carolina"
"509","2013","9848917","341","4.7","18.2","25.6","94.2","216.5","North Carolina"
"510","2014","9943964","329.5","5.1","17.5","24.3","84.6","215.4","North Carolina"
"511","2000","642200","81.4","0.6","26.3","","8.7","45.8","North Dakota"
"512","2001","636550","79.3","1.1","25.8","","9.4","43","North Dakota"
"513","2002","633911","78.2","0.8","25.7","","9.1","42.6","North Dakota"
"514","2003","633400","80.2","1.4","25.3","","8.4","45.2","North Dakota"
"515","2004","636308","87.7","1.3","27.8","","6.8","51.9","North Dakota"
"516","2005","634605","111","1.9","28.4","","8.5","72.5","North Dakota"
"517","2006","635867","197.4","2.2","37.9","","11.8","145.5","North Dakota"
"518","2007","639715","209.9","2.7","39.4","","11.7","156.2","North Dakota"
"519","2008","641481","224.6","1.7","51.6","","11.4","159.9","North Dakota"
"520","2009","646844","266.4","1.9","45.8","","16.5","202.2","North Dakota"
"521","2010","674629","229.5","1.5","36.3","","13.3","178.3","North Dakota"
"522","2011","684740","248.1","3.5","38.8","","13.3","192.5","North Dakota"
"523","2012","701345","245.7","3.6","39.8","","18.1","184.2","North Dakota"
"524","2013","723857","273.4","2.2","39.8","49","22.2","199.9","North Dakota"
"525","2014","739482","265.1","3","37.3","48.4","23.4","190.3","North Dakota"
"526","2000","11353140","334.1","3.7","37.6","","137.5","155.3","Ohio"
"527","2001","11389785","351.4","4","39.2","","151","157.2","Ohio"
"528","2002","11408699","351.7","4.6","42.2","","156.6","148.3","Ohio"
"529","2003","11437680","333.9","4.6","40.7","","147.7","140.8","Ohio"
"530","2004","11450143","338.7","4.4","41.4","","152.2","140.7","Ohio"
"531","2005","11470685","350","5.1","40.7","","162.8","141.5","Ohio"
"532","2006","11478006","361.5","4.9","41.6","","169.2","145.9","Ohio"
"533","2007","11466917","355.4","4.6","40.6","","160","150.2","Ohio"
"534","2008","11485910","352","4.8","39.4","","162.9","145","Ohio"
"535","2009","11542645","331.9","4.6","35.7","","153.1","138.5","Ohio"
"536","2010","11537968","314.7","4.2","32.3","","142.9","135.3","Ohio"
"537","2011","11541007","305.2","4.3","31.9","","138.6","130.4","Ohio"
"538","2012","11553031","301.5","4.1","33","","133.3","131","Ohio"
"539","2013","11572005","291.4","4.1","31.1","37.9","125.2","124.2","Ohio"
"540","2014","11594163","284.9","4","35.3","43.5","110","127.4","Ohio"
"541","2000","3450654","497.8","5.3","41.2","","75.8","375.5","Oklahoma"
"542","2001","3469577","510.9","5.3","42.8","","79.1","383.6","Oklahoma"
"543","2002","3489700","504","4.7","45.1","","85","369.2","Oklahoma"
"544","2003","3506469","506.4","5.9","42.8","","91.9","365.8","Oklahoma"
"545","2004","3523546","500.5","5.3","44.2","","87.7","363.3","Oklahoma"
"546","2005","3543442","509","5.3","41.8","","91.2","371","Oklahoma"
"547","2006","3579212","500.2","5.9","41.6","","87.9","364.9","Oklahoma"
"548","2007","3617316","504.1","6.2","43.3","","93.8","360.8","Oklahoma"
"549","2008","3642361","531.5","5.9","40.4","","101.5","383.7","Oklahoma"
"550","2009","3687050","503.4","6.3","41.6","","91.1","364.3","Oklahoma"
"551","2010","3760184","481.4","5.2","39.1","","89","348.1","Oklahoma"
"552","2011","3784163","457.5","5.6","37.3","","86.9","327.7","Oklahoma"
"553","2012","3815780","474.4","5.8","42.5","","85.1","341","Oklahoma"
"554","2013","3853118","446.1","5.1","44.5","60.1","78.5","302.4","Oklahoma"
"555","2014","3878051","406","4.5","32.9","45.8","78.6","277","Oklahoma"
"556","2000","3421399","350.7","2","37.6","","84.4","226.7","Oregon"
"557","2001","3473441","306.6","2.4","33.8","","79.1","191.3","Oregon"
"558","2002","3520355","292.5","2","35.2","","77.9","177.4","Oregon"
"559","2003","3564330","294.8","1.9","34.2","","79.9","178.8","Oregon"
"560","2004","3591363","298.6","2.5","35.7","","76.6","183.8","Oregon"
"561","2005","3638871","287","2.2","34.8","","68.1","181.9","Oregon"
"562","2006","3700758","284.6","2.4","32.9","","73.3","176.1","Oregon"
"563","2007","3747455","293.9","2","34","","76.4","181.4","Oregon"
"564","2008","3790060","261.4","2.3","31.2","","70.1","157.9","Oregon"
"565","2009","3825657","260.6","2.3","31.4","","65.3","161.5","Oregon"
"566","2010","3838332","251.4","2.5","32.3","","63.1","153.5","Oregon"
"567","2011","3868229","249.3","2.2","32","","57.8","157.3","Oregon"
"568","2012","3899801","247.1","2.3","29.7","","62","153.1","Oregon"
"569","2013","3928068","242.8","2.1","25.5","37.3","60.9","142.5","Oregon"
"570","2014","3970239","232.3","2","26.5","36.7","52.7","140.8","Oregon"
"571","2000","12281054","420","4.9","26.4","","147.8","240.9","Pennsylvania"
"572","2001","12303104","409.9","5.3","28.2","","142.2","234.2","Pennsylvania"
"573","2002","12328827","402.1","5.1","30.3","","139.2","227.6","Pennsylvania"
"574","2003","12370761","397.8","5.2","28.7","","145.3","218.5","Pennsylvania"
"575","2004","12394471","411.5","5.2","28.5","","149.1","228.6","Pennsylvania"
"576","2005","12405348","425","6.1","28.9","","154.9","235.4","Pennsylvania"
"577","2006","12440621","442.3","6","29","","169.6","237.8","Pennsylvania"
"578","2007","12432792","416.7","5.8","27.7","","156.4","226.8","Pennsylvania"
"579","2008","12448279","410","5.7","28","","151.6","224.8","Pennsylvania"
"580","2009","12604767","382.3","5.3","28.8","","138.9","209.4","Pennsylvania"
"581","2010","12717722","366.5","5.1","27.3","","128.8","205.3","Pennsylvania"
"582","2011","12743948","362.4","5","26.2","","126.8","204.4","Pennsylvania"
"583","2012","12764475","355.5","5.5","26.4","","123.3","200.3","Pennsylvania"
"584","2013","12781296","335.1","4.8","21.3","29.7","115.3","185.3","Pennsylvania"
"585","2014","12787209","314.1","4.8","21.8","29.9","105.8","173.5","Pennsylvania"
"586","2000","1048319","297.7","4.3","39.3","","88","166.2","Rhode Island"
"587","2001","1059659","309.3","3.7","39.3","","93","173.4","Rhode Island"
"588","2002","1068326","285.6","3.8","37","","85.7","159","Rhode Island"
"589","2003","1076084","285.7","2.3","46.9","","77.1","159.3","Rhode Island"
"590","2004","1079916","247.5","2.4","29.6","","67.7","147.8","Rhode Island"
"591","2005","1073579","252","3.2","30.1","","72.3","146.9","Rhode Island"
"592","2006","1067610","230.4","2.5","27.1","","69.3","131.5","Rhode Island"
"593","2007","1057832","229.1","1.8","24.4","","71.8","131.1","Rhode Island"
"594","2008","1050788","252.8","3","26.8","","83.7","139.2","Rhode Island"
"595","2009","1053209","254.3","3","28.1","","74.5","148.6","Rhode Island"
"596","2010","1052528","257.4","2.8","28.3","","74.3","152","Rhode Island"
"597","2011","1050646","246.1","1.9","30.4","","70.8","143.1","Rhode Island"
"598","2012","1050304","253","3.4","27.8","","68.1","153.7","Rhode Island"
"599","2013","1053354","257.3","2.9","31.6","42.6","64.8","146.9","Rhode Island"
"600","2014","1055173","219.2","2.4","24","34.2","50.1","132.5","Rhode Island"
"601","2000","4012012","828.1","7.3","41.4","","155","624.5","South Carolina"
"602","2001","4062125","815.2","8.1","43.5","","147.4","616.1","South Carolina"
"603","2002","4103770","822.7","7.3","47.7","","140.7","627","South Carolina"
"604","2003","4148744","806.4","7.3","47.1","","139.8","612.2","South Carolina"
"605","2004","4197892","789.9","6.8","42.2","","130.3","610.6","South Carolina"
"606","2005","4246933","767","7.4","43.8","","133.2","582.9","South Carolina"
"607","2006","4321249","771.1","8.4","42.4","","136.6","583.7","South Carolina"
"608","2007","4407709","785.7","8.3","40.2","","144.2","593","South Carolina"
"609","2008","4479800","731","6.9","37.6","","147.2","539.3","South Carolina"
"610","2009","4561242","675.2","6.7","36.5","","126.1","506","South Carolina"
"611","2010","4637106","602.2","5.7","33.4","","108.2","454.8","South Carolina"
"612","2011","4673348","596.9","6.8","35.9","","99.1","455","South Carolina"
"613","2012","4723417","560.5","7","36.2","","95.5","421.7","South Carolina"
"614","2013","4771929","508.5","6.4","36.4","46.8","83.1","372.2","South Carolina"
"615","2014","4832482","497.7","6.4","30.6","42.8","82.7","365.8","South Carolina"
"616","2000","754844","166.8","0.9","40.4","","17.4","108.1","South Dakota"
"617","2001","758324","154.4","0.9","46.3","","13.6","93.6","South Dakota"
"618","2002","760437","177.5","1.4","47.5","","15.4","113.2","South Dakota"
"619","2003","764905","173.7","1.3","46.5","","13.6","112.3","South Dakota"
"620","2004","770621","171.2","2.2","43.6","","14.5","110.8","South Dakota"
"621","2005","774883","179","2.3","48.7","","18.7","109.3","South Dakota"
"622","2006","781919","264.9","3.8","59.5","","20.2","181.3","South Dakota"
"623","2007","796214","241.9","3.9","54.4","","14.8","168.8","South Dakota"
"624","2008","804194","276.9","4.6","69.9","","16.7","185.8","South Dakota"
"625","2009","812383","218.7","3.7","61.7","","14.4","139","South Dakota"
"626","2010","816598","268.9","2.8","47.1","","18.9","200.1","South Dakota"
"627","2011","823593","255.6","2.4","61.1","","20.3","171.8","South Dakota"
"628","2012","834047","323.8","2.8","71.9","","18.8","230.3","South Dakota"
"629","2013","845510","323.2","2.1","53.7","60","18.5","242.7","South Dakota"
"630","2014","853175","326.5","2.3","48.4","55.1","23.4","245.7","South Dakota"
"631","2000","5689283","707.2","7.2","38.4","","166.4","495.2","Tennessee"
"632","2001","5749398","744","7.4","38.2","","177.7","520.7","Tennessee"
"633","2002","5789796","717.8","7.3","39.6","","162.6","508.5","Tennessee"
"634","2003","5845208","691.3","6.8","36.4","","161","487.1","Tennessee"
"635","2004","5893298","697.6","6.1","38.7","","150.4","502.5","Tennessee"
"636","2005","5955745","757","7.2","36.8","","168.1","545.2","Tennessee"
"637","2006","6038803","762.5","6.9","36.3","","184.5","534.7","Tennessee"
"638","2007","6156719","755","6.6","35.7","","179.2","533.4","Tennessee"
"639","2008","6214888","722.7","6.6","33.4","","173.8","508.8","Tennessee"
"640","2009","6296254","666","7.4","32.1","","153.3","473.2","Tennessee"
"641","2010","6357436","612","5.6","34.2","","131.5","440.7","Tennessee"
"642","2011","6399787","607.8","5.9","32.7","","126.3","442.8","Tennessee"
"643","2012","6454914","638.5","6.2","31.7","","126.3","474.3","Tennessee"
"644","2013","6497269","585.8","5.2","29.3","38.5","112.9","429.3","Tennessee"
"645","2014","6549352","608.4","5.7","28.4","38.6","110.9","453.2","Tennessee"
"646","2000","20851820","545.1","5.9","37.7","","145.1","356.3","Texas"
"647","2001","21370983","571.6","6.2","38.2","","165.4","361.7","Texas"
"648","2002","21736925","579.7","6","39.1","","172.9","361.7","Texas"
"649","2003","22103374","553.1","6.4","36.3","","167.5","342.9","Texas"
"650","2004","22471549","540.9","6.1","37.3","","159.4","338.1","Texas"
"651","2005","22928508","528","6.1","37.1","","156.1","328.8","Texas"
"652","2006","23507783","517.3","5.9","35.9","","158.5","317","Texas"
"653","2007","23904380","510.4","5.9","35.4","","162.2","306.9","Texas"
"654","2008","24326974","508","5.6","33.1","","155.1","314.1","Texas"
"655","2009","24782302","491","5.4","33.5","","153.4","298.7","Texas"
"656","2010","25253466","448.4","4.9","30.2","","130.1","283.2","Texas"
"657","2011","25631778","408.6","4.4","29.2","","111.7","263.3","Texas"
"658","2012","26060796","408.6","4.4","29.6","","116.6","258","Texas"
"659","2013","26505637","410.3","4.3","28.7","39.4","120","246.6","Texas"
"660","2014","26956958","405.9","4.4","30.6","42.3","115.7","243.6","Texas"
"661","2000","2233169","255.7","1.9","38.6","","55.6","159.5","United States-Total"
"662","2001","2278712","233.2","2.9","39.3","","52.5","138.4","United States-Total"
"663","2002","2318789","236.7","2","40.7","","49.2","144.8","United States-Total"
"664","2003","2352119","250.4","2.6","39.1","","53.5","155.3","United States-Total"
"665","2004","2420708","233.3","1.9","39.9","","51.1","140.4","United States-Total"
"666","2005","2490334","225","2.2","36.9","","44","142.2","United States-Total"
"667","2006","2550063","226.3","2","34.9","","48.7","140.7","United States-Total"
"668","2007","2645330","239.9","2.2","35.3","","53.9","148.5","United States-Total"
"669","2008","2736424","225.3","1.5","33.4","","51.9","138.4","United States-Total"
"670","2009","2784572","215.4","1.4","33.8","","46.8","133.4","United States-Total"
"671","2010","2775479","213.5","1.9","35.4","","45.7","130.4","United States-Total"
"672","2011","2814347","197.1","1.8","32","","38.3","125","United States-Total"
"673","2012","2854871","208","1.8","34.2","","38.7","133.4","United States-Total"
"674","2013","2902787","228.9","1.8","31.9","52.4","43","131.7","United States-Total"
"675","2014","2942902","215.6","2.3","32.1","49.4","44.6","119.4","United States-Total"
"676","2000","608827","113.5","1.5","23","","19.2","69.8","Utah"
"677","2001","612978","105.1","1.1","17.5","","17.5","69","Utah"
"678","2002","616408","106.7","2.1","20.4","","12.5","71.7","Utah"
"679","2003","619343","114.2","2.4","20.3","","10","81.4","Utah"
"680","2004","621233","114.8","2.6","25.8","","12.6","73.9","Utah"
"681","2005","622387","126","1.3","24.6","","12.2","87.6","Utah"
"682","2006","623908","145.1","2.2","27.7","","18.3","96.8","Utah"
"683","2007","621254","129.1","2.1","20.6","","12.7","93.7","Utah"
"684","2008","621270","137.5","2.7","21.4","","15","98.3","Utah"
"685","2009","621760","134.6","1.3","21.2","","17.9","94.2","Utah"
"686","2010","625909","131","1.1","22.5","","12.1","95.2","Utah"
"687","2011","626592","147.6","1.8","23.3","","15.8","106.8","Utah"
"688","2012","625953","142.3","1.3","20.9","","18.2","101.9","Utah"
"689","2013","626855","123.6","1.6","18","21.7","12","88.4","Utah"
"690","2014","626562","99.3","1.6","15.8","17.6","11.2","68.9","Utah"
"691","2000","7078515","281.7","5.7","22.8","","88.9","164.3","Vermont"
"692","2001","7196750","291","5.1","24.6","","95.3","166","Vermont"
"693","2002","7287829","291.7","5.3","25.2","","95.5","165.6","Vermont"
"694","2003","7365284","278.2","5.6","24.5","","91.1","156.9","Vermont"
"695","2004","7481332","275.5","5.2","24.3","","92.2","153.8","Vermont"
"696","2005","7564327","283","6.1","23.3","","99.1","154.9","Vermont"
"697","2006","7642884","283.7","5.3","23.9","","101.8","152.7","Vermont"
"698","2007","7712091","272.8","5.4","23.2","","99.8","144.3","Vermont"
"699","2008","7769089","257.8","4.8","23.1","","96.2","133.8","Vermont"
"700","2009","7882590","230.8","4.7","19.9","","80.5","125.7","Vermont"
"701","2010","8023953","214.2","4.7","19.7","","70.8","119","Vermont"
"702","2011","8104384","197.6","3.8","19.6","","66.9","107.3","Vermont"
"703","2012","8186628","191.5","3.9","18.4","","57.6","111.5","Vermont"
"704","2013","8270345","197.8","3.9","17.8","28.4","55.3","110.2","Vermont"
"705","2014","8326289","196.2","4.1","17.2","27.7","51.5","112.9","Vermont"
"706","2000","5894121","369.7","3.3","46.4","","98.6","221.3","Virginia"
"707","2001","5993390","354.7","3","43.4","","99","209.3","Virginia"
"708","2002","6067060","345.5","3","45.1","","95.5","201.9","Virginia"
"709","2003","6131298","346.9","3","46.7","","93.3","204","Virginia"
"710","2004","6207046","343.6","3.1","46","","94.5","200","Virginia"
"711","2005","6291899","346","3.3","44.7","","92","205.7","Virginia"
"712","2006","6395798","348.7","3.1","43","","100.4","202.2","Virginia"
"713","2007","6468424","336.5","2.7","41","","94","198.8","Virginia"
"714","2008","6549224","334.2","2.9","40.5","","98","192.7","Virginia"
"715","2009","6664195","336.3","2.9","38.8","","100.7","194","Virginia"
"716","2010","6742950","313.5","2.3","38.2","","87.9","185","Virginia"
"717","2011","6823267","295.3","2.4","34","","82.5","176.5","Virginia"
"718","2012","6895318","298.1","3.1","32.6","","84.1","178.2","Virginia"
"719","2013","6973742","290","2.4","29.7","37.3","83.6","166.7","Virginia"
"720","2014","7061530","285.2","2.5","30.7","38.2","79.9","164.7","Virginia"
"721","2000","1808344","316.5","2.5","18.3","","41.4","254.2","Washington"
"722","2001","1800975","279.6","2.2","17.8","","39.3","220.3","Washington"
"723","2002","1804884","233.9","3.2","18.2","","36.4","176.1","Washington"
"724","2003","1811440","255.4","4","17.2","","38.7","195.5","Washington"
"725","2004","1812548","281.9","3.8","19.1","","42.7","216.4","Washington"
"726","2005","1814083","274","4.5","18.5","","45","205.9","Washington"
"727","2006","1818470","281.2","4.4","22.2","","46.9","207.6","Washington"
"728","2007","1812035","276.8","3.6","21.4","","46.7","205.1","Washington"
"729","2008","1814468","275.9","3.7","21.4","","49.4","201.4","Washington"
"730","2009","1819777","305.2","4.6","25.8","","50.2","224.5","Washington"
"731","2010","1854368","301.2","3.1","19.5","","41.8","236.7","Washington"
"732","2011","1854908","296.3","4.7","20.1","","43.2","228.4","Washington"
"733","2012","1856680","320.1","3.8","22.4","","45","249","Washington"
"734","2013","1853595","305.2","3.3","19.8","37.8","35.2","228.9","Washington"
"735","2014","1850326","302","4","15.4","27.3","35.2","235.5","Washington"
"736","2000","5363675","236.8","3.2","21.7","","84.6","127.3","West Virginia"
"737","2001","5405947","231","3.6","21.1","","82.2","124.1","West Virginia"
"738","2002","5439692","225","2.8","22.7","","86.6","112.8","West Virginia"
"739","2003","5474290","221.1","3.3","22","","80.3","115.5","West Virginia"
"740","2004","5503533","209.8","2.8","20.6","","73.9","112.5","West Virginia"
"741","2005","5527644","242","3.7","20.5","","82.4","135.2","West Virginia"
"742","2006","5556506","286.1","3","22.2","","100.1","160.8","West Virginia"
"743","2007","5601640","291.5","3.3","21.9","","97.8","168.5","West Virginia"
"744","2008","5627967","275.5","2.6","20","","91.7","161.2","West Virginia"
"745","2009","5654774","259.1","2.6","19.8","","86.7","150","West Virginia"
"746","2010","5691659","248.9","2.7","20.9","","79.3","145.9","West Virginia"
"747","2011","5709843","249.9","2.4","20.8","","80.6","146.1","West Virginia"
"748","2012","5724554","283.9","3","21.5","","82","177.6","West Virginia"
"749","2013","5742953","280.7","2.8","22.8","32","84.2","161.7","West Virginia"
"750","2014","5757564","290.3","2.9","20.3","29.1","88","170.4","West Virginia"
"751","2000","493782","266.5","2.4","32.4","","14.2","217.5","Wisconsin"
"752","2001","493754","257.6","1.8","31","","17","207.8","Wisconsin"
"753","2002","498830","273.4","3","29.7","","18.6","222.1","Wisconsin"
"754","2003","502111","261.7","2.8","27.1","","16.7","215.1","Wisconsin"
"755","2004","505887","229.9","2.2","22.1","","13.2","192.3","Wisconsin"
"756","2005","508798","230","2.8","24","","15.3","188.3","Wisconsin"
"757","2006","515004","253.8","2.5","29.3","","14","208","Wisconsin"
"758","2007","522830","257.1","4","32.9","","16.1","204.1","Wisconsin"
"759","2008","532668","249.7","2.3","34.7","","16.3","196.4","Wisconsin"
"760","2009","544270","219.7","2","31.6","","14.3","171.8","Wisconsin"
"761","2010","564554","197.9","1.4","28.7","","13.6","154.1","Wisconsin"
"762","2011","567356","219.4","3.2","25.7","","12.5","178","Wisconsin"
"763","2012","576626","201.3","2.4","26.7","","10.6","161.6","Wisconsin"
"764","2013","583223","207.8","2.9","24.7","35","12.7","157.2","Wisconsin"
"765","2014","584153","195.5","2.7","21.6","29.8","9.1","153.9","Wisconsin"
"766","2000","281421906","506.5","5.5","32","","145","324","Wyoming"
"767","2001","285317559","504.5","5.6","31.8","","148.5","318.6","Wyoming"
"768","2002","287973924","494.4","5.6","33.1","","146.1","309.5","Wyoming"
"769","2003","290788976","475.8","5.7","32.3","","142.5","295.4","Wyoming"
"770","2004","293656842","463.2","5.5","32.4","","136.7","288.6","Wyoming"
"771","2005","296507061","469","5.6","31.8","","140.8","290.8","Wyoming"
"772","2006","299398484","479.3","5.8","31.6","","150","292","Wyoming"
"773","2007","301621157","471.8","5.7","30.6","","148.3","287.2","Wyoming"
"774","2008","304059724","458.6","5.4","29.8","","145.9","277.5","Wyoming"
"775","2009","307006550","431.9","5","29.1","","133.1","264.7","Wyoming"
"776","2010","309330219","404.5","4.8","27.7","","119.3","252.8","Wyoming"
"777","2011","311587816","387.1","4.7","27","","113.9","241.5","Wyoming"
"778","2012","313873685","387.8","4.7","27.1","","113.1","242.8","Wyoming"
"779","2013","316497531","379.1","4.5","25.9","35.9","109","229.6","Wyoming"
"780","2014","318857056","375.7","4.5","26.4","36.6","102.2","232.5","Wyoming"
